Rank,Brand,Website,Monthly Visits,Global Rank,Avg. Visit Duration,Pages per Visit,Bounce Rate
1,ITC Store,itcstore.in,413.6K,104931.0,1m 4s,4.56,0.1946
2,Britannia Industries,britannia.co.in,92K,444526.0,1m 59s,2.22,0.5725
3,Bikaji Foods,bikaji.com,88.5K,420187.0,1m 5s,2.84,0.4629
4,MTR Foods,mtrfoods.com,54.3K,,1m 20s,2.82,
5,Bikanervala,bikanervala.com,26.9K,958554.0,47s,2.35,0.4188
6,Sri Krishna Sweets,srikrishnasweets.com,6.5K,3735169.0,2m 10s,2.32,0.457
7,Haldiram's,haldiramsonline.com,519,14650732.0,28s,4.0,
